M3
868629.1
786661.7
1006578.0
1305685.0
1426687.0
1258709.0
1449757.0
1850580.0
1848486.0
1942800.0
1749153.0
1634171.0
1701423.0
1793642.0
1622732.0
1508576.0
1499655.0
1739845.0
1679090.0
1700750.0
22029307.0
